,Nitrogênio,Fósforo,Potássio,Calcário,Micronutrientes,Herbicidas,Inseticidas,Bioestimulantes
Janeiro,100.0,20.0,60.0,0.0,4.0,0.0,0.0,2.0
Fevereiro,100.0,20.0,60.0,0.0,4.0,0.0,0.0,2.0
Março,100.0,20.0,60.0,0.0,4.0,0.0,0.0,2.0
Abril,80.0,0.0,40.0,0.0,4.0,20.0,0.0,2.0
Maio,60.0,0.0,40.0,0.0,4.0,20.0,10.0,2.0
Junho,40.0,0.0,20.0,0.0,4.0,0.0,10.0,2.0
Julho,0.0,0.0,0.0,100.0,4.0,0.0,0.0,2.0
Agosto,0.0,0.0,0.0,100.0,4.0,20.0,0.0,2.0
Setembro,20.0,0.0,20.0,0.0,4.0,20.0,0.0,2.0
Outubro,100.0,20.0,80.0,0.0,4.0,20.0,10.0,2.0
Novembro,120.0,20.0,100.0,0.0,4.0,0.0,10.0,2.0
Dezembro,120.0,20.0,100.0,0.0,4.0,0.0,0.0,2.0
